step,train_loss,test_loss
0,4.3099866,0.05605094
1000,2.008744,0.011122283
2000,1.8872942,0.01668096
3000,1.9052137,0.025912765
4000,1.9885854,0.024224034
5000,1.9462403,0.013197066
6000,1.9718151,0.01387688
7000,1.9476954,0.022417264
8000,1.9201901,0.019952608
9000,2.0463765,0.016091252
10000,1.9775263,0.020864733
11000,1.996497,0.015829355
12000,2.1005936,0.016942585
13000,2.0477715,0.021927707
14000,1.8638378,0.014369613
15000,2.0193007,0.019212486
16000,1.9506577,0.0216837
17000,1.8487551,0.0261257
18000,1.9119234,0.012428766
19000,2.0602455,0.01109378
