step,train_loss,test_loss
0,5.4761543,0.056320265
1000,2.1931639,0.0065710805
2000,1.5982809,0.009235492
3000,1.6653137,0.008911182
4000,1.9991975,0.010633662
5000,1.6633083,0.006904588
6000,1.7524016,0.011512948
7000,1.8571646,0.006172849
8000,1.6796554,0.015377597
9000,1.8275591,0.0067400904
10000,1.7557849,0.016683068
11000,1.8676805,0.0072560455
12000,1.7718122,0.013080329
13000,1.9289767,0.0073243747
14000,1.4673778,0.011433044
15000,1.7184151,0.011364393
16000,1.6514869,0.017798487
17000,1.7113051,0.015827162
18000,1.5447954,0.010301838
19000,1.6960659,0.0093441745
