step,train_loss,test_loss
0,5.4761543,0.05625724
1000,2.103328,0.009342467
2000,1.76285,0.005478999
3000,1.6592853,0.012714576
4000,1.871464,0.007856764
5000,1.7935447,0.0024395105
6000,1.7258601,0.005123473
7000,1.7887571,0.0062058317
8000,1.732372,0.0066529983
9000,1.7290792,0.003589333
10000,1.836066,0.0071237097
11000,1.8979322,0.0037426814
12000,1.7659266,0.00657612
13000,1.8559718,0.006571155
14000,1.4511003,0.0071270764
15000,1.687218,0.0070580966
16000,1.6189227,0.007973293
17000,1.6540083,0.013682151
18000,1.4852598,0.0069628367
19000,1.7933729,0.0036216013
