step,train_loss,test_loss
0,5.4761543,0.056693982
1000,2.0762467,0.02300556
2000,1.9052677,0.032524437
3000,1.772648,0.057385493
4000,1.9672246,0.059518047
5000,1.7964727,0.043727048
6000,1.7382793,0.07407545
7000,1.7350142,0.08231563
8000,1.6665175,0.14000715
9000,1.6926423,0.07518037
10000,1.8645849,0.06408899
11000,2.078023,0.08814332
12000,1.8909178,0.06778985
13000,1.7142656,0.120606326
14000,1.5395029,0.17619374
15000,1.8683717,0.10588462
16000,1.6122415,0.16105612
17000,1.5453823,0.22878036
18000,1.6208262,0.10926926
19000,1.6608211,0.13188374
