step,train_loss,test_loss
0,4.8282833,0.056227207
1000,2.0146613,0.011073937
2000,1.889763,0.016789539
3000,1.9134791,0.02581539
4000,1.9889867,0.024070712
5000,1.9551356,0.013146914
6000,1.9762967,0.013885012
7000,1.9449809,0.022445392
8000,1.9182341,0.020050747
9000,2.0447812,0.01616865
10000,1.9763355,0.020815616
11000,1.9946316,0.015810119
12000,2.0936809,0.016935807
13000,2.048767,0.021974828
14000,1.8572133,0.014457227
15000,2.020924,0.019150529
16000,1.9531522,0.021759298
17000,1.8486798,0.026002996
18000,1.9150962,0.012369908
19000,2.058199,0.011151446
